270.659340659341,"16/06/2020",160,"43445216"
274.725274725275,"16/06/2020",156,"43445216"
274.725274725275,"16/06/2020",156,"43445216"
274.725274725275,"16/06/2020",156,"43445216"
274.725274725275,"16/06/2020",156,"43445216"
274.725274725275,"16/06/2020",156,"43445216"
274.725274725275,"16/06/2020",156,"43445216"
274.725274725275,"16/06/2020",170,"43445216"
223.849816849817,"16/06/2020",178,"43445216"
1436.81318681319,"16/06/2020",180,"43445216"
1831.50183150183,"17/06/2020",100,"00000000"
183.150183150183,"17/06/2020",99,"00000000"
1465.20146520147,"17/06/2020",101,"43445216"
185.185185185185,"17/06/2020",101,"00000000"
185.185185185185,"17/06/2020",300,"43445216"
185.185185185185,"17/06/2020",300,"43445216"
185,"17/06/2020",101,"00000000"
185,"17/06/2020",200,"43445216"
